"source","destination","source_chain","destination_chain","source_address","destination_address","transaction_time_utc","source_lock_time_utc","destination_mint_time_utc","transaction_duration_seconds","transaction_duration_hh_mm_ss","transaction_amount","token_symbol","transaction_amount_usd","refunded_or_not","status","simplified_status","is_insufficient_fee","gas_paid","source_tx_hash","message_id","bridge_protocol","data_source"
"optimism : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","Arbitrum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","optimism","Arbitrum","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T14:37:39Z","2026-08-31T14:37:39Z",,"156","00:02:36","200.052754","axlUSDC","200.019345190082","Not Refunded","express_executed","received","False","True","0xc89f63b36aae9924c629469b537eec622a55565401aa9dad3a5e3cd26caada68","0xc89f63b36aae9924c629469b537eec622a55565401aa9dad3a5e3cd26caada68-11","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","polygon","base","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T14:36:57Z","2026-08-31T14:36:57Z","2026-08-31T14:38:09Z","72","00:01:12","999.92242","axlUSDC","999.75543295586","Not Refunded","executed","received","False","True","0x939a81cd4f85628bf1d8400352d82f682ce126ebf6ab3218368755a1f07bc634","0x939a81cd4f85628bf1d8400352d82f682ce126ebf6ab3218368755a1f07bc634-15","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"arbitrum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","arbitrum","axelar","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","2026-08-31T14:30:27Z","2026-08-31T14:30:27Z",,"588","00:09:48","487788.09871","KIP","17.072583454849998","Not Refunded","called","sent","False","True","0xde8688bb7d42629c96bf72ff80f23628918d0091d25c30006fbb1591a0b52c9f","0xde8688bb7d42629c96bf72ff80f23628918d0091d25c30006fbb1591a0b52c9f-7","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q","Polygon : 0xD87E98798b1441c4b7fB7ABd918F90e42ae3D735","osmosis","Polygon","osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q","0xD87E98798b1441c4b7fB7ABd918F90e42ae3D735","2026-08-31T14:26:58Z","2026-08-31T14:26:58Z","2026-08-31T14:27:31Z","33","00:00:33","55.131812","axlUSDC","55.126298818799995","Pending Refund","executed","received","False","True","9942438C19104DFAE5901C029CD616A0F10473471E4C102F590E38C4D45487DF","0xd71e5a0fd316dbb9fa7b23a043e1a54e888529ac257edf1dfe546adb1eae1f34-7095956","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"avalanche : 0xBeB12d8861765c850E8426Cc5c6a5207222f2477","Fantom : 0x39c3D2A07633dc59CaCa9B77250d35C9cd02fB2F","avalanche","Fantom","0xBeB12d8861765c850E8426Cc5c6a5207222f2477","0x39c3D2A07633dc59CaCa9B77250d35C9cd02fB2F","2026-08-31T14:26:29Z","2026-08-31T14:26:29Z","2026-08-31T14:27:31Z","62","00:01:02","499.892595","axlUSDC","499.8426057405","Not Refunded","executed","received","False","True","0xe76c48428c4fdc6b619e25e7b261ef4191a441ea150af289eb3e87a6b9830d2e","0xe76c48428c4fdc6b619e25e7b261ef4191a441ea150af289eb3e87a6b9830d2e-5","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"immutable : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","Ethereum : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","immutable","Ethereum","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","2026-08-31T14:25:39Z","2026-08-31T14:25:39Z","2026-08-31T14:27:23Z","104","00:01:44",,,,"Not Refunded","executed","received","False","True","0x27f810c5716bead19beb3886c80342d99f6dcdf98abd46e0c16b4630b0d5a003","0x27f810c5716bead19beb3886c80342d99f6dcdf98abd46e0c16b4630b0d5a003-2","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","Ethereum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis","Ethereum","osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T14:25:34Z","2026-08-31T14:25:34Z","2026-08-31T14:26:23Z","49","00:00:49","32.114979","axlUSDC","32.1117675021","Pending Refund","executed","received","False","True","AA4C1B07D4CF2AA54E979394133042B4684229DEC0E65D4BADEFCA34DF236FAB","0xae33f06b3a333b5b49b5af2a9f23f5ff13833db8fd6e070939df73896c33e0ba-7095955","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","Polygon : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","binance","Polygon","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T14:24:07Z","2026-08-31T14:24:07Z","2026-08-31T14:24:52Z","45","00:00:45","273.74296","axlUSDC","273.715585704","Not Refunded","executed","received","False","True","0x8566a391c8f95e4e101bdc4b9d5ebf1335679082564ad56b1cc96343dc19bec2","0x8566a391c8f95e4e101bdc4b9d5ebf1335679082564ad56b1cc96343dc19bec2-10","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"blast : 0x492751eC3c57141deb205eC2da8bFcb410738630","base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","blast","base","0x492751eC3c57141deb205eC2da8bFcb410738630","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T14:20:45Z","2026-08-31T14:20:45Z",,"1170","00:19:30","5.997486","axlUSDC","5.9965803796140005","Not Refunded","express_executed","received","False","True","0x8b2d8e3151813e7309516520f64492dcb3ea11d30f2dba7a157bff742c1746fa","0x8b2d8e3151813e7309516520f64492dcb3ea11d30f2dba7a157bff742c1746fa-12","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","arbitrum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","arbitrum","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:59Z","2026-08-31T14:19:59Z","2026-08-31T14:35:40Z","941","00:15:41",,,,"Not Refunded","executed","received","False","True","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed-28","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","base : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","base","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:59Z","2026-08-31T14:19:59Z","2026-08-31T14:35:41Z","942","00:15:42",,,,"Not Refunded","executed","received","False","True","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed-53","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","Avalanche : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","Avalanche","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:59Z","2026-08-31T14:19:59Z","2026-08-31T14:35:43Z","944","00:15:44",,,,"Not Refunded","executed","received","False","True","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed-39","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","binance : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","binance","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:59Z","2026-08-31T14:19:59Z","2026-08-31T14:36:55Z","1016","00:16:56",,,,"Not Refunded","executed","received","False","True","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed","0x0e8c4776528e98e87063e917b0cc587af66ded11111b70efc5953ac8368e46ed-46","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","arbitrum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","arbitrum","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:47Z","2026-08-31T14:19:47Z","2026-08-31T14:35:46Z","959","00:15:59",,,,"Not Refunded","executed","received","False","True","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9-30","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","base : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","base","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:47Z","2026-08-31T14:19:47Z","2026-08-31T14:35:41Z","954","00:15:54",,,,"Not Refunded","executed","received","False","True","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9-48","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","Avalanche : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","Avalanche","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:47Z","2026-08-31T14:19:47Z","2026-08-31T14:35:42Z","955","00:15:55",,,,"Not Refunded","executed","received","False","True","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9-41","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","binance : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","binance","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:47Z","2026-08-31T14:19:47Z","2026-08-31T14:36:56Z","1029","00:17:09",,,,"Not Refunded","executed","received","False","True","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9","0x232b1c05914071107f3816277585101fa0b687f3fcee53082e756d84b9c94bb9-55","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","base : 0x34e904237341C3de02D4447C3fF0ca8880ca6484","ethereum","base","0x34e904237341C3de02D4447C3fF0ca8880ca6484","0x34e904237341C3de02D4447C3fF0ca8880ca6484","2026-08-31T14:19:35Z","2026-08-31T14:19:35Z","2026-08-31T14:35:41Z","966","00:16:06",,,,"Not Refunded","executed","received","False","True","0x98d1abe51a561cb7415309697089e88d7b79a1a96e3e3655925f6c60486dfc6f","0x98d1abe51a561cb7415309697089e88d7b79a1a96e3e3655925f6c60486dfc6f-8","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","immutable : 0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","ethereum","immutable","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","0x4f49B53928A71E553bB1B0F66a5BcB54Fd4E8932","2026-08-31T14:19:35Z","2026-08-31T14:19:35Z","2026-08-31T14:35:25Z","950","00:15:50",,,,"Not Refunded","executed","received","False","True","0x1651b1eeadc1ff693bb3a9b4e5cd256df8090dc78502e5112d456c1b921cf20b","0x1651b1eeadc1ff693bb3a9b4e5cd256df8090dc78502e5112d456c1b921cf20b-5","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","arbitrum : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","polygon","arbitrum","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","2026-08-31T14:17:12Z","2026-08-31T14:17:12Z","2026-08-31T14:17:59Z","47","00:00:47",,,,"Not Refunded","executed","received","False","True","0x79459cf11da80d41a5a47a46636a6cb92638636e7330d2dd176c5569a734f9a1","0x79459cf11da80d41a5a47a46636a6cb92638636e7330d2dd176c5569a734f9a1-6","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","base : 0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","polygon","base","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","0xcbBA104B6CB4960a70E5dfc48E76C536A1f19609","2026-08-31T14:17:06Z","2026-08-31T14:17:06Z","2026-08-31T14:18:13Z","67","00:01:07",,,,"Not Refunded","executed","received","False","True","0x37674c404bf6471cf50f9b5fe24f1517db11e40e8022123735396faac88aba1e","0x37674c404bf6471cf50f9b5fe24f1517db11e40e8022123735396faac88aba1e-6","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","polygon","base","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T14:16:55Z","2026-08-31T14:16:55Z","2026-08-31T14:17:39Z","44","00:00:44","999.963062","axlUSDC","999.7900683902741","Not Refunded","executed","received","False","True","0x49cbf6cda4fe76ab14160e68facd187e470844f37d6bde6ea6b7ce66ffd09691","0x49cbf6cda4fe76ab14160e68facd187e470844f37d6bde6ea6b7ce66ffd09691-15","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"neutron : neutron19zwn8dl8ck08zegjp3rv9u7ex5hat5yw9msz0n7pexmt32tuckvsq7lxcg","base : 0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","neutron","base","neutron19zwn8dl8ck08zegjp3rv9u7ex5hat5yw9msz0n7pexmt32tuckvsq7lxcg","0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","2026-08-31T14:12:25Z","2026-08-31T14:12:25Z","2026-08-31T14:13:09Z","44","00:00:44","8.070331","axlUSDC","8.068967114061","Pending Refund","executed","received","False","True","7235B8BC0DEE30DA65BFD48F36DCEE2B04342019A744FEECDB0949C233F2C1B3","0x7235b8bc0dee30da65bfd48f36dcee2b04342019a744feecdb0949c233f2c1b3-7095954","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"polygon : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","Ethereum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","polygon","Ethereum","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T14:11:52Z","2026-08-31T14:11:52Z","2026-08-31T14:13:23Z","91","00:01:31","57.629647","axlUSDC","57.619907589657","Not Refunded","executed","received","False","True","0x92cc543de6e2a4f2e00328898021770710c8b7306f11159061517861f99b0d85","0x92cc543de6e2a4f2e00328898021770710c8b7306f11159061517861f99b0d85-32","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0xB773bCc5B325ad9AC6B36e1A046AD4466833A16E","osmosis : osmo10a3k4hvk37cc4hnxctw4p95fhscd2z6h2rmx0aukc6rm8u9qqx9smfsh7u","ethereum","osmosis","0xB773bCc5B325ad9AC6B36e1A046AD4466833A16E","osmo10a3k4hvk37cc4hnxctw4p95fhscd2z6h2rmx0aukc6rm8u9qqx9smfsh7u","2026-08-31T14:10:23Z","2026-08-31T14:10:23Z","2026-08-31T14:28:22Z","1079","00:17:59","0.001","WETH","2.44293","Not Refunded","executed","received","False","True","0x65ae2d1344dbc38aaf4f6ee9ae68966fe5cd80c813ef385ef9b655ca5a3f6a59","0x65ae2d1344dbc38aaf4f6ee9ae68966fe5cd80c813ef385ef9b655ca5a3f6a59-3","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q","base : 0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","osmosis","base","osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q","0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","2026-08-31T14:05:51Z","2026-08-31T14:05:51Z","2026-08-31T14:06:33Z","42","00:00:42","9.744193","axlUSDC","9.742955487488999","Pending Refund","executed","received","False","True","D95BC71675EC0ED8D6AD5140C62A3D770282D250ADABD0C3B22100BA6F4F681E","0x779be6fd1433d1cde148e88d9d62ad298a571d8800afece91c0d203f72dbdd56-7095953","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"neutron : neutron19zwn8dl8ck08zegjp3rv9u7ex5hat5yw9msz0n7pexmt32tuckvsq7lxcg","base : 0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","neutron","base","neutron19zwn8dl8ck08zegjp3rv9u7ex5hat5yw9msz0n7pexmt32tuckvsq7lxcg","0x569594F181ac9AbdE3eBf89954F3D3Af40d63600","2026-08-31T14:05:37Z","2026-08-31T14:05:37Z","2026-08-31T14:06:09Z","32","00:00:32","11.161205","axlUSDC","11.159787526965001","Pending Refund","executed","received","False","True","2D65D6E38D0D57269C35CDE3FCD7211F44C73C25CF34309FD863A98D4264558C","0x2d65d6e38d0d57269c35cde3fcd7211f44c73c25cf34309fd863a98d4264558c-7095952","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
